47;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Таштагольского муниципального района;5
48;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Гурьевского муниципального округа;5
49;Выдача градостроительного плана земельного участка;Муниципальный;Сектор архитектуры и градостроительства администрации Яйского муниципального округа;5
50;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства администрации города Кемерово;3
51;Выдача градостроительного плана земельного участка;Муниципальный;Управление капитального строительства администрации Мариинского муниципального округа;3
52;Выдача градостроительного плана земельного участка;Муниципальный;Комитет градостроительства и земельных ресурсов администрации города Новокузнецка;3
53;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства администрации Топкинского муниципального округа;3
54;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Тайгинского городского округа;5
55;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства Администрации Беловского муниципального округа;5
56;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства администрации Междуреченского городского округа;3
57;Выдача разрешений на право организации розничного рынка;Муниципальный;Управление организации торговли и защиты прав потребителей администрации Анжеро-Судженского городского округа;5
58;Выдача документов (выписки из домовой книги, выписки из похозяйственной книги, справок и иных документов);Муниципальный;Администрация Гурьевского муниципального округа;3
59;Регистрация трудовых договоров работодателей - физических лиц, не являющихся индивидуальными предпринимателями, с работниками;Муниципальный;Отдел по труду Администрации города Новокузнецка;3
60;Заключение договора социального найма с гражданами на занимаемые ими жилые помещения по ранее выданным документам;Муниципальный;МКУ «ЦЖ и ЗИО»;3
61;Заключение договора на установку и эксплуатацию рекламной конструкции на земельном участке, здании или ином недвижимом имуществе;Муниципальный;Комитет по управлению муниципальным имуществом администрации Тайгинского городского округа;5
62;Заключение договора на размещение нестационарного торгового объекта на землях или земельных участках без предоставления земельных участков и установления сервитута, публичного сервитута, без проведения торгов;Муниципальный;Комитет по управлению муниципальным имуществом администрации Крапивинского муниципального округа;5
63;Подготовка и утверждение документации по планировке территории;Муниципальный;Отдел архитектуры и градостроительства Администрации Беловского муниципального округа;3
64;Информация из списка детей-сирот;Муниципальный;МКУ «ЦЖ и ЗИО»;1
65;Назначения и выплаты единовременного государственного пособия.;Муниципальный;Управление образования администрации Тайгинского городского округа;3
66;Выдача справок об обучении и дубликатов документов об образовании выпускникам Детского дома № 5 «Единство» и ликвидированных учреждений;Муниципальный;Управление образованием Междуреченского городского округа;1
67;Выдача разрешений на выполнение авиационных работ, парашютных прыжков, демонстрационных полетов воздушных судов, полетов беспилотных воздушных судов;Муниципальный;Администрация города Кемерово;5
68;Выдача разрешения на размещение объекта на земельных участках, находящихся в муниципальной собственности, государственная собственность на которые не разграничена, без предоставления земельных участков и установления сервитутов, публичного сервитута;Муниципальный;Комитет по управлению муниципальным имуществом администрации Тайгинского городского округа;5
69;Выдача документов (выписки из похозяйственной книги, справок и иных документов);Муниципальный;Старопестеревское ТУ;3
70;Проведение аукциона на право заключения договора на размещение нестационарного торгового объекта на землях или земельных участках без предоставления земельных участков и установления сервитута, публичного сервитута;Муниципальный;Комитет по управлению муниципальным имуществом администрации Крапивинского муниципального округа;4
71;Организация культурно-досуговой деятельности;Муниципальный;Управление культуры, молодежной политики, спорта и туризма администрации Крапивинского муниципального округа;1
72;Дача письменных разъяснений налогоплательщикам и налоговым агентам по вопросам применения муниципальных правовых актов о налогах и сборах;Муниципальный;Финансовое управление ЛК ГО;3
73;Уведомительная регистрация трудовых договоров, заключенных (прекращенных) работодателем - физическим лицом, не являющимся индивидуальным предпринимателем, с работником;Муниципальный;Администрация города Кемерово;3
74;Лицензирование медицинской деятельности;Региональный;Министерство здравоохранения Кузбасса;3
75;Предоставление земельного участка в аренду на торгах;Муниципальный;КУМИ Яйского округа;5
76;Выдача органом опеки и попечительства согласия при установлении отцовства лица, не состоящего в браке с матерью ребенка;Региональный;Министерство образования Кузбасса;1
77;Лицензирование деятельности по обороту наркотических средств, психотропных веществ и их прекурсоров, культивированию наркосодержащих растений;Региональный;Министерство здравоохранения Кузбасса;4
78;Уведомительная регистрация коллективных договоров и соглашений;Региональный;Министерство труда и занятости населения Кузбасса;2
79;Выдача согласия на обмен жилыми помещениями, предоставленными по договорам социального найма;Муниципальный;Отдел по учету и распределению жилья Администрации Полысаевского городского округа;3
80;Предоставление земельных участков гражданам для индивидуального жилищного строительства, ведения личного подсобного хозяйства в границах населенного пункта, садоводства, гражданам и крестьянским (фермерским) хозяйствам для осуществления крестьянским (фермерским) хозяйством его деятельности;Муниципальный;Комитет по управлению муниципальным имуществом Чебулинского муниципального района;1
81;Предоставление информации о времени и месте проведения массовых культурно-досуговых и информационно-просветительских мероприятий в муниципальных учреждениях культуры Чебулинского района и анонсы данных мероприятий;Муниципальный;Управление культуры администрации Чебулинского муниципального округа;2
82;Организация массовых мероприятий;Муниципальный;Управление культуры администрации Ленинск-Кузнецкого городского округа;4
83;Предоставление доступа к справочно-поисковому аппарату и базам данных муниципальных библиотек;Муниципальный;Отдел культуры администрации Ленинск-Кузнецкого муниципального округа;2
84;Предоставление пожизненной ренты гражданам;Муниципальный;Комитет социальной защиты администрации города Новокузнецка;3
85;Оказание экстренной адресной материальной помощи гражданам;Муниципальный;Управление социальной защиты населения администрации Прокопьевского муниципального округа;3
86;Оказание экстренной адресной материальной помощи гражданам, проживающим на территории Мариинского муниципального района, оказавшимся в трудной жизненной ситуации;Муниципальный;Управление социальной защиты населения администрации Мариинского муниципального округа;3
87;Предоставление ежемесячной денежной выплаты малообеспеченным семьям при рождении одновременно трех и более детей;Муниципальный;Комитет социальной защиты администрации города Новокузнецка;1
88;Оказание экстренной адресной материальной помощи гражданам, проживающим на территории муниципального образования, оказавшимся в трудной жизненной ситуации;Муниципальный;Комитет социальной защиты населения администрации города Прокопьевска;3
89;Приватизация муниципального имущества;Муниципальный;Комитет по управлению муниципальным имуществом администрации Анжеро-Судженского городского округа;5
90;Предоставление информации о времени и месте проведения театральных представлений, филармонических и эстрадных концертов и гастрольных мероприятий театров и филармоний, киносеансов, анонсы данных мероприятий;Муниципальный;Управление культуры администрации Тисульского муниципального округа;2
91;Предоставление информации об объектах учета из реестра муниципального имущества;Муниципальный;Комитет по управлению муниципальным имуществом Кемеровского муниципального округа;3
92;Осуществление назначения и предоставления ежемесячной денежной выплаты, установленной Законом Кемеровской области «О ежемесячной денежной выплате отдельным категориям граждан, воспитывающих детей в возрасте от 1,5 до 7 лет»;Муниципальный;Управление образования Анжеро-Судженского городского округа;3
93;Предоставление в аренду, безвозмездное пользование и безвозмездное пользование муниципального имущества;Муниципальный;Комитет по управлению муниципальным имуществом Осинниковского городского округа;3
94;Оказание экстренной адресной материальной помощи гражданам, проживающим на территории муниципального образования, оказавшимся в трудной жизненной ситуации;Муниципальный;Администрация Промышленновского муниципального округа;3
95;Предоставление жилого помещения специализированного жилищного фонда;Муниципальный;Жилищный отдел администрации Мариинского муниципального округа;3
96;Оказание экстренной адресной материальной помощи гражданам, проживающим на территории муниципального образования, оказавшимся в трудной жизненной ситуации;Муниципальный;Управление социальной защиты населения администрации Крапивинского муниципального округа;3
97;Выдача разрешений на выполнение авиационных работ, парашютных прыжков, демонстрационных полетов воздушных судов, полетов беспилотных воздушных судов (за исключением полетов беспилотных воздушных судов с максимальной взлетной массой менее 0,25 кг), подъемов привязных аэростатов над территорией Мариинского муниципального района, а также посадка (взлет) на расположенные в границах Мариинского района площадки, сведения о которых не опубликованы в документах аэронавигационной информации;Муниципальный;Администрация Мариинского муниципального округа;3
98;Выдача разрешения на отчуждение имущества несовершеннолетних;Муниципальный;Управление образования администрации Ижморского муниципального округа;1
99;Оказание экстренной адресной материальной помощи гражданам, проживающим на территории муниципального образования, оказавшимся в трудной жизненной ситуации;Муниципальный;Управление социальной защиты населения администрации Юргинского муниципального округа;3
100;Предоставление информации об объектах культурного наследия Юргинского городского округа;Муниципальный;Управление культуры и кино Администрации города Юрги;3
101;Выдача гражданам справок для обращения в топливоснабжающую организацию за приобретением угля по регулируемым государственным ценам;Муниципальный;Администрация Яйского муниципального округа;3
102;Предоставление информации о форме собственности на недвижимое и движимое имущество, земельные участки, находящиеся в собственности муниципального образования, включая предоставление информации об объектах недвижимого имущества, находящихся в муниципальной собственности и предназначенных для сдачи в аренду»;Муниципальный;Управление имущественных отношений администрации Яшкинского муниципального округа;3
103;Согласование списания государственного имущества Кемеровской области, дальнейшая эксплуатация которого невозможна;Региональный;Комитет по управлению государственным имуществом Кузбасса;3
104;Реализация дополнительных общеразвивающих программ;Муниципальный;Управление культуры, молодежной политики и спорта администрации Яйского муниципального округа;1
105;Подтверждение документов об образовании и (или) о квалификации;Региональный;Министерство образования Кузбасса;2
106;Осуществление назначения и выплаты денежных средств на содержание ребенка, находящегося под опекой (попечительством);Муниципальный;Управление образования администрации Тайгинского городского округа;1
107;Истребование документов с территории иностранных государств;Региональный;Управление записи актов гражданского состояния Кузбасса;3
108;Проведение государственной экспертизы запасов полезных ископаемых и подземных вод, геологической информации о предоставляемых в пользование участках недр местного значения, а также запасов общераспространенных полезных ископаемых и запасов подземных вод, которые используются для целей питьевого водоснабжения или технического водоснабжения и объем добычи которых составляет не более 500 кубических метров в сутки на территории Кузбасса;Региональный;Министерство природных ресурсов и экологии Кузбасса;3
109;Выдача задания на сохранение объекта культурного наследия;Региональный;Комитет по охране объектов культурного наследия Кузбасса;3
110;Проставление апостиля на официальных документах, выданных органами ЗАГС Кузбасса, подлежащих вывозу за границу;Региональный;Управление записи актов гражданского состояния Кузбасса;3
111;Включение в Единый государственный реестр записей актов гражданского состояния сведений о документах, выданных компетентными органами иностранных государств в удостоверение актов гражданского состояния, совершенных по законам соответствующих иностранных государств вне пределов территории Российской федерации в отношении граждан Российской Федерации;Региональный;Управление записи актов гражданского состояния Кузбасса;1
112;Предоставление информации об объектах культурного наследия регионального и местного (муниципального) значения, находящихся на территории Тисульского муниципального района и включенных в единый государственный реестр объектов культурного наследия (памятников истории и культуры) народов Российской Федерации;Муниципальный;Управление культуры администрации Тисульского муниципального округа;3
113;Подтверждение документов об ученых степенях, ученых званиях;Региональный;Министерство образования Кузбасса;3
114;Предоставление информации об образовательных программах и учебных планах, рабочих программах учебных курсов, предметах, дисциплинах (модулях), годовых календарных учебных графиках;Муниципальный;Управление образования администрации Кемеровского муниципального округа;1
115;Предоставление информации о порядке проведения государственной (итоговой) аттестации обучающихся, освоивших основные и дополнительные общеобразовательные (за исключением дошкольных) программы;Муниципальный;Управление образования администрации Прокопьевского муниципального округа;1
116;Выдача разрешения на изменение фамилии и имени несовершеннолетним;Муниципальный;Управление образования администрации Тайгинского городского округа;3
117;Предоставление сведений, содержащихся в информационной системе обеспечения градостроительной деятельности муниципального образования «Новокузнецкий муниципальный район»;Муниципальный;Отдел архитектуры и градостроительства администрации Новокузнецкого муниципального округа;3
118;Предоставление информации об организации общедоступного и бесплатного дошкольного, начального общего, основного общего, среднего (полного) общего образования, а также дополнительного образования;Муниципальный;Управление образования администрации Юргинского муниципального округа;1
119;Предоставление информации о результатах сданных экзаменов, тестирования и иных вступительных испытаний, а также о зачислении в образовательное учреждение;Муниципальный;Управление образованием Мысковского городского округа;1
120;Предоставление информации о порядке проведения государственной (итоговой) аттестации обучающихся, освоивших основные и дополнительные общеобразовательные (за исключением дошкольных) программы;Муниципальный;Управление образования Анжеро-Судженского городского округа;1
121;Предоставление информации о проведении ярмарок, выставок народного творчества, ремесел на территории Прокопьевского городского округа;Муниципальный;Культурно-выставочный центр «Вернисаж;1
122;Предоставление информации о времени и месте проведения театральных представлений, филармонических и эстрадных концертов и гастрольных мероприятий театров и филармоний, киносеансов, анонсы данных мероприятий;Муниципальный;Управление культуры администрации Мариинского муниципального округа;3
123;Выдача разрешений на право организации розничного рынка;Муниципальный;Администрация города Юрги;3
124;Предоставление сведений, содержащихся в информационной системе обеспечения градостроительной деятельности Киселевского городского округа;Муниципальный;Отдел архитектуры и градостроительства администрации Киселевского городского округа;5
